GU_NAME,CPR_인지율,CPR_교육경험률,,,,,,,,,,
합계,93.8,16.9,,,,,,,,,,
종로구,89.6,15.6,,,,,,,,,,
중구,91.4,17.7,,,,,,,,,,
용산구,95.7,15,,,,,,,,,,
성동구,96.5,19,,,,,,,,,,
광진구,95.7,20.2,,,,,,,,,,
동대문구,95.2,18.9,,,,,,,,,,
중랑구,93.2,19.6,,,,,,,,,,
성북구,95.6,19.8,,,,,,,,,,
강북구,94.5,11.7,,,,,,,,,,
도봉구,94.1,15.1,,,,,,,,,,
노원구,89.4,15.8,,,,,,,,,,
은평구,91.4,13,,,,,,,,,,
서대문구,91.6,16,,,,,,,,,,
마포구,94.6,13.5,,,,,,,,,,
양천구,95,17.7,,,,,,,,,,
강서구,94.4,15.6,,,,,,,,,,
구로구,95.9,18.3,,,,,,,,,,
금천구,93.7,18.4,,,,,,,,,,
영등포구,91.4,18.6,,,,,,,,,,
동작구,93.4,18.3,,,,,,,,,,
관악구,88.9,15.2,,,,,,,,,,
서초구,97,17.5,,,,,,,,,,
강남구,94.2,18.5,,,,,,,,,,
송파구,96.2,17.1,,,,,,,,,,
강동구,94,16.7,,,,,,,,,,
